Name,Type,Type_2,Total,HP,Attack,Defense,Sp_Atk,Sp_Def,Speed,Generation,Legendary
Bulbasaur,Grass,Poison,318,45,49,49,65,65,45,1,FALSE
Ivysaur,Grass,Poison,405,60,62,63,80,80,60,1,FALSE
Venusaur,Grass,Poison,525,80,82,83,100,100,80,1,FALSE
Charmander,Fire,NA,309,39,52,43,60,50,65,1,FALSE
Charmeleon,Fire,NA,405,58,64,58,80,65,80,1,FALSE
Charizard,Fire,Flying,534,78,84,78,109,85,100,1,FALSE
Squirtle,Water,NA,314,44,48,65,50,64,43,1,FALSE
Wartortle,Water,NA,405,59,63,80,65,80,58,1,FALSE
Blastoise,Water,NA,530,79,83,100,85,105,78,1,FALSE
Vulpix,Fire,NA,299,38,41,40,50,65,65,1,FALSE
Ninetales,Fire,NA,505,73,76,75,81,100,100,1,FALSE
Oddish,Grass,Poison,320,45,50,55,75,65,30,1,FALSE
Gloom,Grass,Poison,395,60,65,70,85,75,40,1,FALSE
Vileplume,Grass,Poison,490,75,80,85,110,90,50,1,FALSE
Psyduck,Water,NA,320,50,52,48,65,50,55,1,FALSE
Golduck,Water,NA,500,80,82,78,95,80,85,1,FALSE
Growlithe,Fire,NA,350,55,70,45,70,50,60,1,FALSE
Arcanine,Fire,NA,555,90,110,80,100,80,95,1,FALSE
Poliwag,Water,NA,300,40,50,40,40,40,90,1,FALSE
Poliwhirl,Water,NA,385,65,65,65,50,50,90,1,FALSE
Poliwrath,Water,Fighting,510,90,95,95,70,90,70,1,FALSE
Bellsprout,Grass,Poison,300,50,75,35,70,30,40,1,FALSE
Weepinbell,Grass,Poison,390,65,90,50,85,45,55,1,FALSE
Victreebel,Grass,Poison,490,80,105,65,100,70,70,1,FALSE
Tentacool,Water,Poison,335,40,40,35,50,100,70,1,FALSE
Tentacruel,Water,Poison,515,80,70,65,80,120,100,1,FALSE
Ponyta,Fire,NA,410,50,85,55,65,65,90,1,FALSE
Rapidash,Fire,NA,500,65,100,70,80,80,105,1,FALSE
Slowpoke,Water,Psychic,315,90,65,65,40,40,15,1,FALSE
Slowbro,Water,Psychic,490,95,75,110,100,80,30,1,FALSE
Seel,Water,NA,325,65,45,55,45,70,45,1,FALSE
Dewgong,Water,Ice,475,90,70,80,70,95,70,1,FALSE
Shellder,Water,NA,305,30,65,100,45,25,40,1,FALSE
Cloyster,Water,Ice,525,50,95,180,85,45,70,1,FALSE
Krabby,Water,NA,325,30,105,90,25,25,50,1,FALSE
Kingler,Water,NA,475,55,130,115,50,50,75,1,FALSE
Exeggcute,Grass,Psychic,325,60,40,80,60,45,40,1,FALSE
Exeggutor,Grass,Psychic,520,95,95,85,125,65,55,1,FALSE
Tangela,Grass,NA,435,65,55,115,100,40,60,1,FALSE
Horsea,Water,NA,295,30,40,70,70,25,60,1,FALSE
Seadra,Water,NA,440,55,65,95,95,45,85,1,FALSE
Goldeen,Water,NA,320,45,67,60,35,50,63,1,FALSE
Seaking,Water,NA,450,80,92,65,65,80,68,1,FALSE
Staryu,Water,NA,340,30,45,55,70,55,85,1,FALSE
Starmie,Water,Psychic,520,60,75,85,100,85,115,1,FALSE
Magmar,Fire,NA,495,65,95,57,100,85,93,1,FALSE
Magikarp,Water,NA,200,20,10,55,15,20,80,1,FALSE
Gyarados,Water,Flying,540,95,125,79,60,100,81,1,FALSE
Lapras,Water,Ice,535,130,85,80,85,95,60,1,FALSE
Vaporeon,Water,NA,525,130,65,60,110,95,65,1,FALSE
Flareon,Fire,NA,525,65,130,60,95,110,65,1,FALSE
Moltres,Fire,Flying,580,90,100,90,125,85,90,1,TRUE
Chikorita,Grass,NA,318,45,49,65,49,65,45,2,FALSE
Bayleef,Grass,NA,405,60,62,80,63,80,60,2,FALSE
Meganium,Grass,NA,525,80,82,100,83,100,80,2,FALSE
Cyndaquil,Fire,NA,309,39,52,43,60,50,65,2,FALSE
Quilava,Fire,NA,405,58,64,58,80,65,80,2,FALSE
Typhlosion,Fire,NA,534,78,84,78,109,85,100,2,FALSE
Totodile,Water,NA,314,50,65,64,44,48,43,2,FALSE
Croconaw,Water,NA,405,65,80,80,59,63,58,2,FALSE
Feraligatr,Water,NA,530,85,105,100,79,83,78,2,FALSE
Chinchou,Water,Electric,330,75,38,38,56,56,67,2,FALSE
Lanturn,Water,Electric,460,125,58,58,76,76,67,2,FALSE
Bellossom,Grass,NA,490,75,80,95,90,100,50,2,FALSE
Marill,Water,Fairy,250,70,20,50,20,50,40,2,FALSE
Azumarill,Water,Fairy,420,100,50,80,60,80,50,2,FALSE
Politoed,Water,NA,500,90,75,75,90,100,70,2,FALSE
Hoppip,Grass,Flying,250,35,35,40,35,55,50,2,FALSE
Skiploom,Grass,Flying,340,55,45,50,45,65,80,2,FALSE
Jumpluff,Grass,Flying,460,75,55,70,55,95,110,2,FALSE
Sunkern,Grass,NA,180,30,30,30,30,30,30,2,FALSE
Sunflora,Grass,NA,425,75,75,55,105,85,30,2,FALSE
Wooper,Water,Ground,210,55,45,45,25,25,15,2,FALSE
Quagsire,Water,Ground,430,95,85,85,65,65,35,2,FALSE
Slowking,Water,Psychic,490,95,75,80,100,110,30,2,FALSE
Qwilfish,Water,Poison,430,65,95,75,55,55,85,2,FALSE
Slugma,Fire,NA,250,40,40,40,70,40,20,2,FALSE
Magcargo,Fire,Rock,410,50,50,120,80,80,30,2,FALSE
Corsola,Water,Rock,380,55,55,85,65,85,35,2,FALSE
Remoraid,Water,NA,300,35,65,35,65,35,65,2,FALSE
Octillery,Water,NA,480,75,105,75,105,75,45,2,FALSE
Mantine,Water,Flying,465,65,40,70,80,140,70,2,FALSE
Kingdra,Water,Dragon,540,75,95,95,95,95,85,2,FALSE
Magby,Fire,NA,365,45,75,37,70,55,83,2,FALSE
Entei,Fire,NA,580,115,115,85,90,75,100,2,TRUE
Suicune,Water,NA,580,100,75,115,90,115,85,2,TRUE
Ho-oh,Fire,Flying,680,106,130,90,110,154,90,2,TRUE
Treecko,Grass,NA,310,40,45,35,65,55,70,3,FALSE
Grovyle,Grass,NA,405,50,65,45,85,65,95,3,FALSE
Sceptile,Grass,NA,530,70,85,65,105,85,120,3,FALSE
Torchic,Fire,NA,310,45,60,40,70,50,45,3,FALSE
Combusken,Fire,Fighting,405,60,85,60,85,60,55,3,FALSE
